Module,Interface,LDP table name,Schema URL,Example URL,Dev API URL
mod-inventory-storage,/location-units/campuses,inventory_campuses,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/loccamp.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/loccamps.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/locationunit.html
mod-inventory-storage,/classification-types,inventory_classification_types,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/classificationtype.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/classificationtypes.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/classification-type.html
mod-inventory-storage,/contributor-name-types,inventory_contributor_name_types,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/contributornametype.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/contributornametypes.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/contributor-name-type.html
mod-inventory-storage,/contributor-types,inventory_contributor_types,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/contributortype.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/contributortypes.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/contributor-type.html
mod-inventory-storage,/electronic-access-relationships,inventory_electronic_access_relationships,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/electronicaccessrelationship.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/electronicaccessrelationships.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/electronic-access-relationship.html
mod-inventory-storage,/holdings-storage/holdings,inventory_holdings,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/holdings-storage/holdingsRecord.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/holdings-storage/holdingsRecords_get.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/holdings-storage.html
mod-inventory-storage,/holdings-note-types,inventory_holdings_note_types,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/holdings-note-types/holdingsNoteType.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/holdings-note-types/holdingsNoteTypes.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/holdings-note-type.html
mod-inventory-storage,/holdings-sources,inventory_holdings_sources,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/holdings-sources/holdingsRecordsSource.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/holdings-sources/holdingsRecordsSources.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/holdings-sources.html
mod-inventory-storage,/holdings-types,inventory_holdings_types,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/holdings-types/holdingsType.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/holdings-types/holdingsTypes.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/holdings-type.html
mod-inventory-storage,/identifier-types,inventory_identifier_types,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/identifiertype.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/identifiertypes.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/identifier-type.html
